    0.194358512878417961E+00    0.256326622366905219E-01    0.807749010324478101E+00    0.109220364928245539E+01    0.470273089408874467E+00   -0.514955019950866699E+01    0.790654613971710241E+01   -0.237268049141903248E+00   -0.800583305618829399E+00   -0.131353926202677918E+01   -0.149826621330134913E+01    0.122270876358811642E+01    0.198125839233398438E-01    0.440108597278594971E+00    0.364062190055847168E-01    0.302099368501003163E+01   -0.455863757222516028E+02   -0.486073694072616362E+02
    0.213625278711318978E+00    0.207045220732688905E-01    0.667576895952224691E+00    0.875682909488677996E+00    0.435610079765319846E+00   -0.354249215126037598E+01    0.780465629100799507E+01    0.645464603155687655E-01    0.283449490690941275E+01   -0.158355052893853077E+01   -0.831482977811219826E+00    0.171315162572113899E+01    0.374451100826263428E+00    0.102857649326324463E+00    0.442470312118530273E-01   -0.165198476804418815E+01   -0.502522417476396441E+02   -0.486002569795954571E+02
    0.252653615685695554E+00    0.209921281537336947E-01    0.769634365399594289E+00    0.987373620941507490E+00    0.488507421382806117E+00   -0.474860477881715592E+01    0.773752810217809728E+01    0.530209499046350174E+00    0.911994538489580564E-01   -0.243667953892895639E+01   -0.108585831270488598E+01    0.976119344344397399E+00    0.606807136697559701E+00    0.288575007822203911E+00    0.346767828626240893E+00    0.212086689491769675E+01   -0.464679422909338982E+02   -0.485888091858515949E+02
    0.226289197604045367E+00    0.204441119236439435E-01    0.732702400238117835E+00    0.909802431079048013E+00    0.934959667437018194E+00   -0.797294938420784582E+00    0.768090064048546317E+01    0.283444658253984016E+00   -0.161348876388160534E+01   -0.132935515198710141E+01    0.114542575787368150E+01    0.759768564747673958E+00    0.201872518271674906E+00    0.892401557279366764E+00    0.537745954416593896E+00   -0.117672789481988538E+01   -0.496745772497653277E+02   -0.484978493549454441E+02
    0.233444631016160975E+00    0.209830370646174880E-01    0.717403846862439409E+00    0.104292222042131821E+01    0.531646598966803774E+00   -0.463805650147072512E+01    0.765554165096741190E+01    0.362918247003563010E-01    0.102485268651548722E+01    0.769372156506733740E+00   -0.153605913955857432E+01    0.145419843177819552E+01    0.776782095824080643E+00    0.456630620716533264E+00    0.534295380010874690E-01    0.746458216114335160E+00   -0.477350934488225676E+02   -0.484815516649369016E+02
    0.200169774056535910E+00    0.237601064206006095E-01    0.673279759567609437E+00    0.101722377172391809E+01    0.844448168961235646E+00    0.118771915604127898E+01    0.787654905933863336E+01    0.353805016869728206E+00    0.107874368528655451E+00   -0.102214487575679391E+01   -0.361674777991538576E-02    0.981491979240445511E+00    0.770588937341173397E+00    0.428311424537651475E+00    0.320573119868094170E+00    0.215168929721706315E+01   -0.463275837144075666E+02   -0.484792730116246275E+02
    0.822535843849182130E-01    0.226721059083938581E-01    0.677760514020919747E+00    0.861665452718734737E+00    0.365413808822631858E+00   -0.479252457618713379E+01    0.779371387958526629E+01    0.130419871505978335E+01    0.377721067244465358E+00   -0.839039714061300179E+00   -0.202498232749235285E+01    0.178564638693501387E+01    0.932541787624359131E+00    0.737368583679199219E+00    0.580626130104064941E-01    0.189078713567747103E+01   -0.465668358336591481E+02   -0.484576229693366187E+02
    0.940420271276979358E-01    0.247098011695511856E-01    0.726507573705849841E+00    0.996905722550951112E+00    0.555794155668514422E+00   -0.941075807209534432E+00    0.777708752098545286E+01   -0.176263786011872980E+01    0.642428734878421892E+00   -0.113549406873630665E+01   -0.130418776159672234E+01    0.138071565905079319E+01    0.508892091042352557E+00    0.831999537872179284E+00    0.758686742173563466E+00    0.136441681457847785E+01   -0.470700608324349972E+02   -0.484344776470134732E+02
    0.133218614101409921E+00    0.259929237365722626E-01    0.650324680805206334E+00    0.100909399986267090E+01    0.808089089393615678E+00    0.770470619201660156E+00    0.763703196048736555E+01   -0.516039811617474697E+00   -0.814028043981807059E+00    0.476190396047968756E+00   -0.126305525155316900E+01    0.183581656530009263E+01    0.787734210491180420E+00    0.539633691310882568E+00    0.185834586620330811E+00    0.150489256420916906E+01   -0.469278478923858060E+02   -0.484327404565949777E+02
    0.897903127670288126E-01    0.253798285126686091E-01    0.705766938924789367E+00    0.102141266822814947E+01    0.440293645858764626E+00   -0.352659988403320312E+01    0.795438370704650843E+01   -0.665797512277777059E+00    0.187063828317377612E+00   -0.767027679731881795E+00   -0.211461459894849213E+01    0.175261603796229815E+01    0.845833480358123779E+00    0.880552530288696289E+00    0.954465866088867188E-01    0.254202288369980423E+01   -0.458820558257340281E+02   -0.484240787094338287E+02
    0.158736682891845698E+00    0.201720094680786118E-01    0.643769286870956470E+00    0.909302830696105957E+00    0.394464707374572732E+00   -0.522979831695556641E+01    0.797275373935699427E+01   -0.277212512788764798E+00    0.961905676086871608E+00   -0.385606409246292747E+00   -0.157366766408244985E+01    0.174585785125259485E+01    0.720333099365234375E+00    0.389230251312255859E+00    0.446486592292785645E+00    0.218253750856761597E+01   -0.462376572034955444E+02   -0.484201947120631573E+02
    0.199490304708480837E+00    0.251783448457717877E-01    0.718026994466781643E+00    0.977942163944244380E+00    0.616868901252746515E+00   -0.446764612197875977E+01    0.776238384246826119E+01    0.616021141712508324E+00   -0.285275390307901944E+01   -0.231988211259021915E+00    0.115987980690306358E+00    0.157719099181917977E+01    0.993430137634277344E+00    0.656603336334228516E+00    0.358453512191772461E+00   -0.206657794977401288E+01   -0.503996781349973375E+02   -0.483331001852233229E+02
