# data theory diff diff_frac
2.492912371964653566e-10 1.309064929006349823e-10 1.183847442958303743e-10 4.748853013334434214e-01
4.783565003658931193e-10 3.894446793359777794e-10 8.891182102991533992e-11 1.858693693132778824e-01
5.532993793957984026e-10 4.356706471431606898e-10 1.176287322526377128e-10 2.125950916140336433e-01
5.258686106614813186e-10 3.307378381452245256e-10 1.951307725162567930e-10 3.710637382801857398e-01
6.296552018376762313e-10 2.434760832534450535e-10 3.861791185842311778e-10 6.133183962542524403e-01
7.194801456597276229e-10 1.551543992283102646e-10 5.643257464314173583e-10 7.843520767539160499e-01
3.836160435032663905e-10 4.048020404224292760e-10 -2.118599691916288554e-11 -5.522708780813150031e-02
3.986342514158669681e-10 4.525606264779138596e-10 -5.392637506204689148e-11 -1.352778264048096479e-01
3.311006001129592253e-10 3.441633656692492681e-10 -1.306276555629004288e-11 -3.945255777800919794e-02
3.532151553244417146e-10 2.548139003726163017e-10 9.840125495182541294e-11 2.785872957841802333e-01
3.311161335821406603e-10 1.629216702698546072e-10 1.681944633122860532e-10 5.079621505986258168e-01
4.270169184447948488e-10 5.737688031241727736e-10 -1.467518846793779249e-10 -3.436676120792861444e-01
4.861424270527550717e-10 6.491333399747142268e-10 -1.629909129219591551e-10 -3.352739934880683559e-01
3.972518380854153803e-10 5.049652572979954452e-10 -1.077134192125800649e-10 -2.711464337879790909e-01
4.339548998200543503e-10 3.557266514807829448e-10 7.822824833927140552e-11 1.802681531461215736e-01
4.314994933028632835e-10 2.052560839130239089e-10 2.262434093898393746e-10 5.243190615545922917e-01
5.955679530658226314e-10 7.927056090822678556e-10 -1.971376560164452242e-10 -3.310078304274666205e-01
5.860386037689289781e-10 9.002037492793346177e-10 -3.141651455104056396e-10 -5.360826803728424572e-01
4.560033396327038563e-10 7.094499771966705105e-10 -2.534466375639666542e-10 -5.557999592022940805e-01
3.862612306772576598e-10 4.965232138735292176e-10 -1.102619831962715578e-10 -2.854596175830068083e-01
3.172924875405456166e-10 2.768717180499638472e-10 4.042076949058176936e-11 1.273927718991977320e-01
7.951995715020861165e-10 8.643519777905905013e-10 -6.915240628850438473e-11 -8.696232841006124037e-02
9.344857620487649518e-10 9.827195567267232712e-10 -4.823379467795831945e-11 -5.161533394817127002e-02
8.224298184586634380e-10 7.779243156244184077e-10 4.450550283424503032e-11 5.411465128739364333e-02
7.185779071383472777e-10 5.451779589350977961e-10 1.733999482032494815e-10 2.413098795282957731e-01
6.184403392499368687e-10 3.023264847934694264e-10 3.161138544564674423e-10 5.111468874101257054e-01
9.834593532304424539e-10 1.330174971127964350e-09 -3.467156178975218958e-10 -3.525469728450282836e-01
9.837631843821504121e-10 1.517699262573771497e-09 -5.339360781916210848e-10 -5.427485869243603434e-01
6.077260774606390035e-10 1.197971764232810924e-09 -5.902456867721719207e-10 -9.712363985407566069e-01
1.973227230955908512e-10 7.987075301827132206e-10 -6.013848070871223178e-10 -3.047722014234457877e+00
-1.589247280147989279e-10 4.079351593765994025e-10 -5.668598873913983305e-10 3.566845100018751324e+00
1.316260416306449731e-09 1.563158109777320564e-09 -2.468976934708708330e-10 -1.875751108307951165e-01
1.575438175835238518e-09 1.785489070841162650e-09 -2.100508950059241325e-10 -1.333285547016549721e-01
1.279007265785400783e-09 1.407845144060978816e-09 -1.288378782755780330e-10 -1.007327180400828109e-01
8.958808550711044409e-10 9.238513752946688176e-10 -2.797052022356437673e-11 -3.122125008614499986e-02
5.324071257016447241e-10 4.586040556580593162e-10 7.380307004358540792e-11 1.386214918636229088e-01
1.873464116877816716e-09 2.007169229195805382e-09 -1.337051123179886666e-10 -7.136785333300761647e-02
2.010364346276874761e-09 2.290231588948131605e-09 -2.798672426712568438e-10 -1.392121996142446916e-01
1.356284587593224505e-09 1.781913377614370648e-09 -4.256287900211461428e-10 -3.138196761318652328e-01
7.108314526429422101e-10 1.120541154487444374e-09 -4.097097018445021639e-10 -5.763809413907623469e-01
3.859665783837698134e-10 5.263685616220713087e-10 -1.404019832383014953e-10 -3.637672044720375308e-01
