# data theory diff diff_frac
6.296552018376762313e-10 2.756641279913499263e-10 3.539910738463263050e-10 5.621982837800559851e-01
7.194801456597276229e-10 1.529866492286246862e-10 5.664934964311029367e-10 7.873650160445448964e-01
3.836160435032663905e-10 2.365815636785732498e-10 1.470344798246931407e-10 3.832855333211349080e-01
3.986342514158669681e-10 3.985487254220520960e-10 8.552599381487213402e-14 2.145475294987858454e-04
3.311006001129592253e-10 4.031654876938364107e-10 -7.206488758087718542e-11 -2.176525429319406957e-01
3.532151553244417146e-10 2.887316942975973053e-10 6.448346102684440936e-11 1.825614219967822971e-01
3.311161335821406603e-10 1.606162641902485152e-10 1.704998693918921451e-10 5.149246807981221474e-01
4.270169184447948488e-10 3.856536865447693407e-10 4.136323190002550803e-11 9.686555757713610770e-02
4.861424270527550717e-10 6.161870124152833650e-10 -1.300445853625282932e-10 -2.675030569763789390e-01
3.972518380854153803e-10 5.821457681820859117e-10 -1.848939300966705314e-10 -4.654325351590077320e-01
4.339548998200543503e-10 3.869384131424328939e-10 4.701648667762145635e-11 1.083441774643344735e-01
4.314994933028632835e-10 2.015267805258948636e-10 2.299727127769684199e-10 5.329617214997605101e-01
5.955679530658226314e-10 5.585844409778653929e-10 3.698351208795723841e-11 6.209788807066620592e-02
5.860386037689289781e-10 8.818197572981100963e-10 -2.957811535291811182e-10 -5.047127469537922018e-01
4.560033396327038563e-10 8.187782863132141052e-10 -3.627749466805102488e-10 -7.955532671596525773e-01
3.862612306772576598e-10 5.325985787873283895e-10 -1.463373481100707297e-10 -3.788559049881544127e-01
3.172924875405456166e-10 2.714066386250569434e-10 4.588584891548867321e-11 1.446168778566655766e-01
7.951995715020861165e-10 6.144405588505282237e-10 1.807590126515578928e-10 2.273127641531729470e-01
9.344857620487649518e-10 9.691721292148937751e-10 -3.468636716612882331e-11 -3.711813338930118611e-02
8.224298184586634380e-10 8.984960361082598591e-10 -7.606621764959642112e-11 -9.248961545698093645e-02
7.185779071383472777e-10 5.831046176936221221e-10 1.354732894447251556e-10 1.885297169575275988e-01
6.184403392499368687e-10 2.963772893878743409e-10 3.220630498620625278e-10 5.207665629520065176e-01
9.834593532304424539e-10 1.013695964770990747e-09 -3.023661154054829265e-11 -3.074515631096276166e-02
9.837631843821504121e-10 1.545624816402774788e-09 -5.618616320206243761e-10 -5.711350464629350032e-01
6.077260774606390035e-10 1.365429539796972993e-09 -7.577034623363339891e-10 -1.246784514336409577e+00
1.973227230955908512e-10 8.341909529765811901e-10 -6.368682298809902872e-10 -3.227546325581906572e+00
-1.589247280147989279e-10 3.974170520240479890e-10 -5.563417800388469169e-10 3.500662149864059547e+00
1.316260416306449731e-09 1.214276315371814886e-09 1.019841009346348456e-10 7.748018528188502230e-02
1.575438175835238518e-09 1.834305853133760482e-09 -2.588676772985219643e-10 -1.643147165462586212e-01
1.279007265785400783e-09 1.597792656785800286e-09 -3.187853910003995028e-10 -2.492443940923531609e-01
8.958808550711044409e-10 9.575481245302502192e-10 -6.166726945914577830e-11 -6.883423070163872948e-02
5.324071257016447241e-10 4.457012319025301644e-10 8.670589379911455969e-11 1.628563736536156326e-01
1.873464116877816716e-09 1.611598377000790252e-09 2.618657398770264633e-10 1.397762239041084320e-01
2.010364346276874761e-09 2.377944332061400897e-09 -3.675799857845261362e-10 -1.828424715476433815e-01
1.356284587593224505e-09 2.000822480497867198e-09 -6.445378929046426932e-10 -4.752231934216684106e-01
7.108314526429422101e-10 1.146269468636222702e-09 -4.354380159932804914e-10 -6.125756174326255632e-01
