# data theory diff diff_frac
9.834593532304424539e-10 1.010497003667919479e-09 -2.703765043747702540e-11 -2.749239238883074629e-02
9.837631843821504121e-10 1.540195931510065338e-09 -5.564327471279149261e-10 -5.656165589052621900e-01
6.077260774606390035e-10 1.359838433480125199e-09 -7.521123560194861951e-10 -1.237584470888858146e+00
1.973227230955908512e-10 8.300588529681902569e-10 -6.327361298725994574e-10 -3.206605503645301614e+00
-1.589247280147989279e-10 3.950176381550257345e-10 -5.539423661698246108e-10 3.485564349169387732e+00
1.316260416306449731e-09 1.210604402701602169e-09 1.056560136048475622e-10 8.026984044793221418e-02
1.575438175835238518e-09 1.828024299061639889e-09 -2.525861232264013707e-10 -1.603275375071380737e-01
1.279007265785400783e-09 1.591273638699488555e-09 -3.122663729140877724e-10 -2.441474581634484886e-01
8.958808550711044409e-10 9.527098944117918238e-10 -5.682903934068738295e-11 -6.343370217033711400e-02
5.324071257016447241e-10 4.428993716822355849e-10 8.950775401940913921e-11 1.681190008519313772e-01
1.873464116877816716e-09 1.606669341014254076e-09 2.667947758635626402e-10 1.424071982270917469e-01
2.010364346276874761e-09 2.369611560762195618e-09 -3.592472144853208574e-10 -1.786975655187251488e-01
1.356284587593224505e-09 1.992321715926136116e-09 -6.360371283329116116e-10 -4.689555084169925170e-01
7.108314526429422101e-10 1.140104982775568850e-09 -4.292735301326266401e-10 -6.039033986700290679e-01
3.859665783837698134e-10 5.055870040582602546e-10 -1.196204256744904412e-10 -3.099243104814916050e-01
