# data theory diff diff_frac
2.053444597321272276e-10 8.281032480739100381e-12 1.970634272513881336e-10 9.596724815875639081e-01
-4.316390813605022176e-10 2.040214445770277360e-12 -4.336792958062724937e-10 1.004726667565271514e+00
-1.747211379157624652e-09 4.022535426474504905e-13 -1.747613632700272137e-09 1.000230226031861847e+00
8.317422204797886697e-10 2.357887743043103873e-10 5.959534461754782824e-10 7.165121975312300773e-01
7.580061027865223463e-10 1.157234636613931106e-10 6.422826391251292744e-10 8.473317520321016483e-01
2.844631494557852492e-10 3.613115870285954617e-11 2.483319907529257289e-10 8.729847476835467246e-01
1.027189637038914156e-09 8.317300277411000324e-12 1.018872336761503219e-09 9.919028580726463318e-01
8.384874061714122242e-10 1.589330199161197428e-12 8.368980759722510122e-10 9.981045270477965081e-01
4.714240855035933585e-10 2.878419751599015290e-10 1.835821103436918296e-10 3.894203032659698804e-01
1.701078596139051774e-10 1.414517973062166634e-10 2.865606230768851403e-11 1.684581910132156579e-01
-2.352330452311193215e-10 4.404090253347212654e-11 -2.792739477645914674e-10 1.187222430803467343e+00
-6.061980276994505670e-13 1.019753275028774742e-11 -1.080373077798719809e-11 1.782211469573375950e+01
2.071009717535567680e-10 2.029684364032605717e-12 2.050712873895241542e-10 9.901995420550325777e-01
7.932316545130758828e-10 3.355818035423831353e-10 4.576498509706927475e-10 5.769435049230611234e-01
4.934104617171754979e-10 1.666059310199668125e-10 3.268045306972086854e-10 6.623380654716115590e-01
7.480987540808805037e-10 5.233787159527948980e-11 6.957608824856009945e-10 9.300388199956539648e-01
6.432603244535268608e-10 1.238636184051167171e-11 6.308739626130151390e-10 9.807444025853228053e-01
-1.013339224233582006e-10 2.566753353341483789e-12 -1.039006757766996860e-10 1.025329655577901899e+00
3.353162618682934715e-10 3.501164940775172477e-10 -1.480023220922377620e-11 -4.413812836502709058e-02
4.414665288075374389e-10 1.745682566414986234e-10 2.668982721660388413e-10 6.045719318449084279e-01
-1.932452923128313336e-10 5.515889284808562525e-11 -2.484041851609169460e-10 1.285434600698022400e+00
-1.633424719608339354e-10 1.322192225655951030e-11 -1.765643942173934554e-10 1.080946015435163998e+00
-1.312878356660587447e-10 2.756113917451869777e-12 -1.340439495835106088e-10 1.020992911517425439e+00
5.243143576250069932e-10 4.913780849311300408e-10 3.293627269387695234e-11 6.281779664220674131e-02
4.848811860811812985e-10 2.297983856960286083e-10 2.550828003851526902e-10 5.260727941348614101e-01
-3.759829428745306495e-11 6.860264163426233867e-11 -1.062009359217153972e-10 2.824621114717848602e+00
2.974464036561868337e-10 1.560349623654854414e-11 2.818429074196382735e-10 9.475418225107056225e-01
-2.458381650188194397e-10 2.943900210623744878e-12 -2.487820652294431926e-10 1.011974951937989031e+00
5.632866116741176282e-10 6.826562623856355034e-10 -1.193696507115178753e-10 -2.119163641343169147e-01
3.552798407750990445e-10 3.141616901822861119e-10 4.111815059281293258e-11 1.157345446426321228e-01
-2.078952733090685192e-10 9.204058247413327042e-11 -2.999358557832017897e-10 1.442725709965039460e+00
-1.442956260428126750e-10 2.005281798964210519e-11 -1.643484440324547802e-10 1.138970380042513719e+00
-2.648102702146158892e-10 2.933347129123249959e-12 -2.677436173437391541e-10 1.011077165272879830e+00
7.259947424319820492e-10 7.475272669901527331e-10 -2.153252455817068392e-11 -2.965933952364407239e-02
8.868885298187272894e-10 3.439063055639740528e-10 5.429822242547532882e-10 6.122327733404494543e-01
2.886404154093102008e-10 1.004335679245387044e-10 1.882068474847714834e-10 6.520460664452771837e-01
-1.314381489561711098e-10 2.120534759113718276e-11 -1.526434965473082958e-10 1.161333279261322016e+00
-7.308511046704866833e-10 2.325415237039908328e-12 -7.331765199075266385e-10 1.003181790685105934e+00
5.281775264915396830e-10 1.115977238158119015e-09 -5.877997116665793316e-10 -1.112882851285030394e+00
-5.419666256695689987e-10 4.801789115755498286e-10 -1.022145537245118827e-09 1.885993507408903813e+00
3.018834755226183122e-10 1.288257614287503926e-10 1.730577140938679195e-10 5.732599765332361264e-01
6.503704506129455257e-10 2.477414450934163527e-11 6.255963061036038711e-10 9.619076412743028381e-01
5.795016297527579246e-11 3.775930533561041002e-12 5.417423244171474985e-11 9.348417616155448862e-01
1.352349073539644995e-09 1.299068923166930137e-09 5.328015037271485815e-11 3.939822299967207092e-02
5.619686650340384022e-10 5.461795078908050973e-10 1.578915714323330485e-11 2.809615219787558321e-02
4.991054217839956411e-10 1.413714433063712698e-10 3.577339784776243455e-10 7.167503354280241323e-01
2.864546895915383006e-10 2.607949417081197322e-11 2.603751954207263242e-10 9.089576986573364437e-01
-1.652498442680650529e-10 5.017071121325179033e-12 -1.702669153893902392e-10 1.030360519512421469e+00
