    0.133705375671386717E+01   -0.606263608932495091E+00    0.183258146374831044E+01   -0.475711543722167818E+02   -0.494037358359650938E+02
    0.117275991916656497E+01   -0.617333478927612256E+00    0.183258146374831044E+01   -0.475388605976536880E+02   -0.493714420614020000E+02
    0.117275991916656497E+01   -0.617333478927612256E+00    0.183258146374831044E+01   -0.475388605976536880E+02   -0.493714420614020000E+02
    0.103147950649261477E+01   -0.563055725097656223E+00    0.183258146374831044E+01   -0.475370435904726492E+02   -0.493696250542209611E+02
    0.103147950649261477E+01   -0.563055725097656223E+00    0.183258146374831044E+01   -0.475370435904726492E+02   -0.493696250542209611E+02
    0.132412050247192381E+01   -0.603818960189819287E+00    0.183258146374831044E+01   -0.475247351457092648E+02   -0.493573166094575768E+02
    0.132412050247192381E+01   -0.603818960189819287E+00    0.183258146374831044E+01   -0.475247351457092648E+02   -0.493573166094575768E+02
    0.126083889484405498E+01   -0.584139080047607395E+00    0.183258146374831044E+01   -0.475209465210804041E+02   -0.493535279848287161E+02
    0.126083889484405498E+01   -0.584139080047607395E+00    0.183258146374831044E+01   -0.475209465210804041E+02   -0.493535279848287161E+02
    0.130677314281463608E+01   -0.668085904121398899E+00    0.183258146374831044E+01   -0.474963679438879254E+02   -0.493289494076362374E+02
    0.130677314281463608E+01   -0.668085904121398899E+00    0.183258146374831044E+01   -0.474963679438879254E+02   -0.493289494076362374E+02
    0.127034504890441879E+01   -0.589354510307312007E+00    0.183258146374831044E+01   -0.474523586993437902E+02   -0.492849401630921022E+02
    0.127034504890441879E+01   -0.589354510307312007E+00    0.183258146374831044E+01   -0.474523586993437902E+02   -0.492849401630921022E+02
    0.134200575828552227E+01   -0.680938692092895481E+00    0.183258146374831044E+01   -0.474499920030594069E+02   -0.492825734668077189E+02
    0.134200575828552227E+01   -0.680938692092895481E+00    0.183258146374831044E+01   -0.474499920030594069E+02   -0.492825734668077189E+02
    0.130076628208160394E+01   -0.599036855697631765E+00    0.183258146374831044E+01   -0.474496342569201701E+02   -0.492822157206684821E+02
    0.130076628208160394E+01   -0.599036855697631765E+00    0.183258146374831044E+01   -0.474496342569201701E+02   -0.492822157206684821E+02
    0.124752319335937489E+01   -0.582594890594482440E+00    0.183258146374831044E+01   -0.474387516284106567E+02   -0.492713330921589687E+02
    0.124752319335937489E+01   -0.582594890594482440E+00    0.183258146374831044E+01   -0.474387516284106567E+02   -0.492713330921589687E+02
    0.117391393661499022E+01   -0.559983892440795827E+00    0.183258146374831044E+01   -0.474170181352536417E+02   -0.492495995990019537E+02
    0.133949859619140610E+01   -0.614070696830749441E+00    0.183258146374831044E+01   -0.473697175036933871E+02   -0.492022989674416991E+02
    0.133949859619140610E+01   -0.614070696830749441E+00    0.183258146374831044E+01   -0.473697175036933871E+02   -0.492022989674416991E+02
    0.102333171844482429E+01   -0.513516492843627881E+00    0.183258146374831044E+01   -0.473634353301201401E+02   -0.491960167938684521E+02
    0.102333171844482429E+01   -0.513516492843627881E+00    0.183258146374831044E+01   -0.473634353301201401E+02   -0.491960167938684521E+02
    0.111331108093261721E+01   -0.592607159614563006E+00    0.183258146374831044E+01   -0.473439545364651835E+02   -0.491765360002134955E+02
    0.111331108093261721E+01   -0.592607159614563006E+00    0.183258146374831044E+01   -0.473439545364651835E+02   -0.491765360002134955E+02
    0.131221018314361570E+01   -0.606718964576721143E+00    0.183258146374831044E+01   -0.473318340530653856E+02   -0.491644155168136976E+02
    0.131221018314361570E+01   -0.606718964576721143E+00    0.183258146374831044E+01   -0.473318340530653856E+02   -0.491644155168136976E+02
    0.135533848285675029E+01   -0.620491070747375417E+00    0.183258146374831044E+01   -0.473315143878157798E+02   -0.491640958515640918E+02
    0.135533848285675029E+01   -0.620491070747375417E+00    0.183258146374831044E+01   -0.473315143878157798E+02   -0.491640958515640918E+02
    0.124882586479186997E+01   -0.587892289161682124E+00    0.183258146374831044E+01   -0.472893282448603500E+02   -0.491219097086086620E+02
    0.124882586479186997E+01   -0.587892289161682124E+00    0.183258146374831044E+01   -0.472893282448603500E+02   -0.491219097086086620E+02
    0.104285672187805178E+01   -0.565058917999267551E+00    0.183258146374831044E+01   -0.472813561283206241E+02   -0.491139375920689361E+02
    0.104285672187805178E+01   -0.565058917999267551E+00    0.183258146374831044E+01   -0.472813561283206241E+02   -0.491139375920689361E+02
    0.121158936500549319E+01   -0.577024073600769016E+00    0.183258146374831044E+01   -0.472557980891122611E+02   -0.490883795528605731E+02
    0.121158936500549319E+01   -0.577024073600769016E+00    0.183258146374831044E+01   -0.472557980891122611E+02   -0.490883795528605731E+02
    0.130778537273406981E+01   -0.608339233398437429E+00    0.183258146374831044E+01   -0.472459290470590503E+02   -0.490785105108073623E+02
    0.130778537273406981E+01   -0.608339233398437429E+00    0.183258146374831044E+01   -0.472459290470590503E+02   -0.490785105108073623E+02
    0.131687970638275131E+01   -0.668392629623413059E+00    0.183258146374831044E+01   -0.472308310972281191E+02   -0.490634125609764311E+02
    0.131687970638275131E+01   -0.668392629623413059E+00    0.183258146374831044E+01   -0.472308310972281191E+02   -0.490634125609764311E+02
    0.129932246685028074E+01   -0.661503572463989276E+00    0.183258146374831044E+01   -0.472136719985728206E+02   -0.490462534623211326E+02
    0.129932246685028074E+01   -0.661503572463989276E+00    0.183258146374831044E+01   -0.472136719985728206E+02   -0.490462534623211326E+02
    0.133290732383728017E+01   -0.617812819480895947E+00    0.183258146374831044E+01   -0.472083443885716321E+02   -0.490409258523199441E+02
    0.133290732383728017E+01   -0.617812819480895947E+00    0.183258146374831044E+01   -0.472083443885716321E+02   -0.490409258523199441E+02
    0.100871768474578860E+01   -0.512954230308532710E+00    0.183258146374831044E+01   -0.471996098843768408E+02   -0.490321913481251528E+02
    0.100871768474578860E+01   -0.512954230308532710E+00    0.183258146374831044E+01   -0.471996098843768408E+02   -0.490321913481251528E+02
    0.137524109363555902E+01   -0.631844825744628857E+00    0.183258146374831044E+01   -0.471992718798999533E+02   -0.490318533436482653E+02
    0.130881207466125482E+01   -0.610397977828979421E+00    0.183258146374831044E+01   -0.471980247163968585E+02   -0.490306061801451705E+02
    0.130881207466125482E+01   -0.610397977828979421E+00    0.183258146374831044E+01   -0.471980247163968585E+02   -0.490306061801451705E+02
    0.132301764965057367E+01   -0.615399451255798313E+00    0.183258146374831044E+01   -0.471871088822392721E+02   -0.490196903459875841E+02
    0.132301764965057367E+01   -0.615399451255798313E+00    0.183258146374831044E+01   -0.471871088822392721E+02   -0.490196903459875841E+02
    0.133214304924011229E+01   -0.673369379043579075E+00    0.183258146374831044E+01   -0.471812059709983700E+02   -0.490137874347466820E+02
    0.133214304924011229E+01   -0.673369379043579075E+00    0.183258146374831044E+01   -0.471812059709983700E+02   -0.490137874347466820E+02
    0.104325781345367430E+01   -0.524773044586181570E+00    0.183258146374831044E+01   -0.471786564176183347E+02   -0.490112378813666467E+02
    0.118866696834564212E+01   -0.618952627182006831E+00    0.183258146374831044E+01   -0.471616848274558933E+02   -0.489942662912042053E+02
    0.118866696834564212E+01   -0.618952627182006831E+00    0.183258146374831044E+01   -0.471616848274558933E+02   -0.489942662912042053E+02
    0.998590593338012700E+00   -0.546671981811523433E+00    0.183258146374831044E+01   -0.471427110039954869E+02   -0.489752924677437989E+02
    0.998590593338012700E+00   -0.546671981811523433E+00    0.183258146374831044E+01   -0.471427110039954869E+02   -0.489752924677437989E+02
    0.115976155281066884E+01   -0.607726020812988210E+00    0.183258146374831044E+01   -0.471401532751610688E+02   -0.489727347389093808E+02
    0.110650148868560794E+01   -0.546787829399108860E+00    0.183258146374831044E+01   -0.471315466347151499E+02   -0.489641280984634619E+02
    0.110650148868560794E+01   -0.546787829399108860E+00    0.183258146374831044E+01   -0.471315466347151499E+02   -0.489641280984634619E+02
    0.992053513526916508E+00   -0.509432215690612811E+00    0.183258146374831044E+01   -0.471247340333463356E+02   -0.489573154970946476E+02
    0.992053513526916508E+00   -0.509432215690612811E+00    0.183258146374831044E+01   -0.471247340333463356E+02   -0.489573154970946476E+02
    0.107770071506500242E+01   -0.537678141593933123E+00    0.183258146374831044E+01   -0.471205490339205468E+02   -0.489531304976688588E+02
    0.107770071506500242E+01   -0.537678141593933123E+00    0.183258146374831044E+01   -0.471205490339205468E+02   -0.489531304976688588E+02
