    0.655319809913635254E+00    0.896848142147064209E+00    0.784422099590301514E+00    0.584804952144622803E+00    0.509200692176818848E+00    0.817911922931671143E+00    0.380483686923980713E+00    0.383520126342773438E-01    0.211005985736846924E+00    0.581610739231109619E+00   -0.181547906446611549E+02   -0.423843203174804876E+04    0.395252516672997235-322
    0.417601644992828369E+00    0.162876605987548828E+00    0.457754313945770264E+00    0.579947888851165771E+00    0.905467867851257324E+00    0.634872913360595703E-02    0.842045724391937256E+00    0.134605467319488525E+00    0.805394172668457031E+00    0.899547994136810303E+00    0.584142419401071510-301    0.732088632238008683-310    0.395252516672997235-322
    0.527617394924163818E+00    0.108570039272308350E+00    0.193120658397674561E+00    0.590577065944671631E+00    0.363136231899261475E+00    0.376092314720153809E+00    0.701064169406890869E+00    0.216373026371002197E+00    0.523651897907257080E+00    0.449091494083404541E+00    0.138265634609855367-315    0.107160830349143177-295    0.395252516672997235-322
    0.564454615116119385E+00    0.225307106971740723E+00    0.163091659545898438E+00    0.951775550842285156E+00    0.121465206146240234E+00    0.543962717056274414E-01    0.699200272560119629E+00    0.687541007995605469E+00    0.828868806362152100E+00    0.290965974330902100E+00   -0.162859244449916289E+02   -0.747057103489896974E+02    0.395252516672997235-322
    0.934540987014770508E+00    0.664023518562316895E+00    0.206851363182067871E+00    0.183123409748077393E+00    0.687137484550476074E+00    0.438976883888244629E-01    0.851857066154479980E+00    0.880184769630432129E-01    0.987171530723571777E+00    0.405589580535888672E+00   -0.169163071873784325E+02   -0.947184837085613544E+05    0.395252516672997235-322
    0.477495670318603516E+00    0.391389012336730957E+00    0.852765262126922607E+00    0.975632786750793457E+00    0.539927721023559570E+00    0.905365169048309326E+00    0.267218947410583496E+00    0.314974486827850342E+00    0.500866234302520752E+00    0.554377138614654541E+00    0.402761005052830447-310    0.000000000000000000E+00    0.395252516672997235-322
    0.758143544197082520E+00    0.760559439659118652E+00    0.289273619651794434E+00    0.280349731445312500E+00    0.885618627071380615E+00    0.955467879772186279E+00    0.983249187469482422E+00    0.733652114868164062E-01    0.673872232437133789E+00    0.936847984790802002E+00   -0.178223686650525224E+02   -0.266724163118866500E+03    0.395252516672997235-322
    0.207098841667175293E+00    0.826790750026702881E+00    0.834803521633148193E+00    0.439653515815734863E+00    0.642868995666503906E+00    0.737190246582031250E-03    0.653616309165954590E+00    0.742871522903442383E+00    0.335375070571899414E-01    0.480863332748413086E+00    0.000000000000000000E+00    0.362861280255061566-311    0.395252516672997235-322
    0.530746281147003174E+00    0.629908084869384766E+00    0.786685526371002197E+00    0.623219788074493408E+00    0.657061338424682617E+00    0.588463842868804932E+00    0.843896508216857910E+00    0.557096838951110840E+00    0.203421950340270996E+00    0.121745049953460693E+00   -0.158918767254663020E+02   -0.464085641270213364E+04    0.395252516672997235-322
    0.114454627037048340E-01    0.585569381713867188E+00    0.148372590541839600E+00    0.300811350345611572E+00    0.662138938903808594E+00    0.317713916301727295E+00    0.365418553352355957E+00    0.525127470493316650E+00    0.153039813041687012E+00    0.469065546989440918E+00    0.000000000000000000E+00    0.000000000000000000E+00    0.395252516672997235-322
